index	name	color	mapping
120	ctx-lh-inferiortemporal_1 	#6ce2df	8
121	ctx-lh-inferiortemporal_2 	#4c1436	8
122	ctx-lh-middletemporal_1 	#33338a	8
123	ctx-lh-middletemporal_2 	#18fb73	8
124	ctx-lh-bankssts_1 	#c0602b	8
125	ctx-lh-superiortemporal_1 	#7e3526	8
126	ctx-lh-superiortemporal_2 	#e769bd	8
127	ctx-lh-transversetemporal_1 	#fe88f6	8
128	ctx-lh-insula_1 	#d7fdb9	8
129	ctx-lh-insula_2 	#1b0851	8
130	left-pulvinar	#ff0000	9
131	left-anterior	#00ff00	9
132	left-medio_dorsal	#ffff00	9
133	left-ventral_latero_dorsal	#ff7b00	9
134	left-central_lateral-lateral_posterior-medial_pulvinar	#00ffff	9
135	left-ventral_anterior	#ff00ff	9
136	left-ventral_latero_ventral	#0000ff	9
137	left-thalamus_proper	#00760e	9
138	left-caudate	#7abadc	9
139	left-putamen	#ec0db0	9
140	left-pallidum	#0c30ff	9
141	left-accumbens_area	#ffa500	9
142	left-hippocampus	#67ffff	9
143	left-amygdala	#dcd814	9
144	left-ventraldc	#a52a2a	9
145	brainstem	#ccb68e	10
