index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal_1                          , cortical  ,     1156.0 
2   , ctx-rh-lateralorbitofrontal_2                          , cortical  ,      807.0 
3   , ctx-rh-lateralorbitofrontal_3                          , cortical  ,     1674.0 
4   , ctx-rh-lateralorbitofrontal_4                          , cortical  ,      968.0 
5   , ctx-rh-lateralorbitofrontal_5                          , cortical  ,      725.0 
6   , ctx-rh-lateralorbitofrontal_6                          , cortical  ,     1393.0 
7   , ctx-rh-lateralorbitofrontal_7                          , cortical  ,     1324.0 
8   , ctx-rh-parsorbitalis_1                                 , cortical  ,     1923.0 
9   , ctx-rh-parsorbitalis_2                                 , cortical  ,     1340.0 
10  , ctx-rh-frontalpole_1                                   , cortical  ,     1242.0 
11  , ctx-rh-medialorbitofrontal_1                           , cortical  ,     1136.0 
12  , ctx-rh-medialorbitofrontal_2                           , cortical  ,     1548.0 
13  , ctx-rh-medialorbitofrontal_3                           , cortical  ,      859.0 
14  , ctx-rh-medialorbitofrontal_4                           , cortical  ,      623.0 
15  , ctx-rh-medialorbitofrontal_5                           , cortical  ,     1053.0 
16  , ctx-rh-parstriangularis_1                              , cortical  ,      512.0 
17  , ctx-rh-parstriangularis_2                              , cortical  ,     1054.0 
18  , ctx-rh-parstriangularis_3                              , cortical  ,     1680.0 
19  , ctx-rh-parstriangularis_4                              , cortical  ,     1199.0 
20  , ctx-rh-parsopercularis_1                               , cortical  ,     1393.0 
21  , ctx-rh-parsopercularis_2                               , cortical  ,      656.0 
22  , ctx-rh-parsopercularis_3                               , cortical  ,     1896.0 
23  , ctx-rh-parsopercularis_4                               , cortical  ,     1012.0 
24  , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,     2961.0 
25  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,     1535.0 
26  , ctx-rh-rostralmiddlefrontal_3                          , cortical  ,      786.0 
27  , ctx-rh-rostralmiddlefrontal_4                          , cortical  ,     1849.0 
28  , ctx-rh-rostralmiddlefrontal_5                          , cortical  ,      982.0 
29  , ctx-rh-rostralmiddlefrontal_6                          , cortical  ,     1803.0 
30  , ctx-rh-rostralmiddlefrontal_7                          , cortical  ,     1876.0 
31  , ctx-rh-rostralmiddlefrontal_8                          , cortical  ,     1060.0 
32  , ctx-rh-rostralmiddlefrontal_9                          , cortical  ,     1682.0 
33  , ctx-rh-rostralmiddlefrontal_10                         , cortical  ,     1605.0 
34  , ctx-rh-rostralmiddlefrontal_11                         , cortical  ,      988.0 
35  , ctx-rh-rostralmiddlefrontal_12                         , cortical  ,     1134.0 
36  , ctx-rh-rostralmiddlefrontal_13                         , cortical  ,     1985.0 
37  , ctx-rh-superiorfrontal_1                               , cortical  ,     2263.0 
38  , ctx-rh-superiorfrontal_2                               , cortical  ,      629.0 
39  , ctx-rh-superiorfrontal_3                               , cortical  ,     1377.0 
40  , ctx-rh-superiorfrontal_4                               , cortical  ,     1527.0 
41  , ctx-rh-superiorfrontal_5                               , cortical  ,      968.0 
42  , ctx-rh-superiorfrontal_6                               , cortical  ,     1833.0 
43  , ctx-rh-superiorfrontal_7                               , cortical  ,     1410.0 
44  , ctx-rh-superiorfrontal_8                               , cortical  ,     2560.0 
45  , ctx-rh-superiorfrontal_9                               , cortical  ,     1971.0 
46  , ctx-rh-superiorfrontal_10                              , cortical  ,     1566.0 
47  , ctx-rh-superiorfrontal_11                              , cortical  ,     1475.0 
48  , ctx-rh-superiorfrontal_12                              , cortical  ,     1482.0 
49  , ctx-rh-superiorfrontal_13                              , cortical  ,     1623.0 
50  , ctx-rh-superiorfrontal_14                              , cortical  ,      966.0 
51  , ctx-rh-superiorfrontal_15                              , cortical  ,     1301.0 
52  , ctx-rh-superiorfrontal_16                              , cortical  ,     1286.0 
53  , ctx-rh-superiorfrontal_17                              , cortical  ,     2338.0 
