index	name	color	mapping
1	ctx-rh-lateralorbitofrontal_1 	#000000	8
2	ctx-rh-lateralorbitofrontal_2 	#d36d70	8
3	ctx-rh-lateralorbitofrontal_3 	#1097a5	8
4	ctx-rh-lateralorbitofrontal_4 	#c40ef6	8
5	ctx-rh-parsorbitalis_1 	#3f68ca	8
6	ctx-rh-frontalpole_1 	#b3a111	8
7	ctx-rh-medialorbitofrontal_1 	#1655e6	8
8	ctx-rh-medialorbitofrontal_2 	#17b5fa	8
9	ctx-rh-medialorbitofrontal_3 	#48c20b	8
10	ctx-rh-parstriangularis_1 	#ecb18e	8
11	ctx-rh-parstriangularis_2 	#f0b5fa	8
12	ctx-rh-parsopercularis_1 	#5fb73e	8
13	ctx-rh-parsopercularis_2 	#56841a	8
14	ctx-rh-rostralmiddlefrontal_1 	#7797c0	8
15	ctx-rh-rostralmiddlefrontal_2 	#cc03af	8
16	ctx-rh-rostralmiddlefrontal_3 	#29bf1c	8
17	ctx-rh-rostralmiddlefrontal_4 	#c93cfb	8
18	ctx-rh-rostralmiddlefrontal_5 	#470221	8
19	ctx-rh-rostralmiddlefrontal_6 	#7b2872	8
20	ctx-rh-superiorfrontal_1 	#f2d006	8
21	ctx-rh-superiorfrontal_2 	#f47ad9	8
22	ctx-rh-superiorfrontal_3 	#7d82be	8
23	ctx-rh-superiorfrontal_4 	#286a31	8
24	ctx-rh-superiorfrontal_5 	#5f945f	8
25	ctx-rh-superiorfrontal_6 	#6929ab	8
26	ctx-rh-superiorfrontal_7 	#0f6270	8
27	ctx-rh-superiorfrontal_8 	#3b5a7d	8
28	ctx-rh-caudalmiddlefrontal_1 	#03706c	8
29	ctx-rh-caudalmiddlefrontal_2 	#adc84f	8
30	ctx-rh-caudalmiddlefrontal_3 	#e96ece	8
31	ctx-rh-precentral_1 	#c02a7a	8
32	ctx-rh-precentral_2 	#1c3d8f	8
33	ctx-rh-precentral_3 	#fd8654	8
34	ctx-rh-precentral_4 	#51d41d	8
35	ctx-rh-precentral_5 	#fa11c1	8
36	ctx-rh-precentral_6 	#f3fde7	8
37	ctx-rh-paracentral_1 	#b03650	8
38	ctx-rh-paracentral_2 	#e592ae	8
39	ctx-rh-paracentral_3 	#f148ce	8
40	ctx-rh-rostralanteriorcingulate_1 	#e37028	8
41	ctx-rh-caudalanteriorcingulate_1 	#8131d8	8
42	ctx-rh-posteriorcingulate_1 	#06eceb	8
43	ctx-rh-posteriorcingulate_2 	#6c5f26	8
44	ctx-rh-isthmuscingulate_1 	#7b2cc2	8
45	ctx-rh-postcentral_1 	#c98cdd	8
46	ctx-rh-postcentral_2 	#cae6e0	8
47	ctx-rh-postcentral_3 	#20d75a	8
48	ctx-rh-postcentral_4 	#b27385	8
49	ctx-rh-postcentral_5 	#beb580	8
50	ctx-rh-supramarginal_1 	#ba39a4	8
51	ctx-rh-supramarginal_2 	#4ddcae	8
52	ctx-rh-supramarginal_3 	#0e6c1c	8
53	ctx-rh-supramarginal_4 	#b7db76	8
54	ctx-rh-superiorparietal_1 	#341a93	8
55	ctx-rh-superiorparietal_2 	#b91781	8
56	ctx-rh-superiorparietal_3 	#1b46fd	8
57	ctx-rh-superiorparietal_4 	#08b604	8
58	ctx-rh-superiorparietal_5 	#2fe8d8	8
59	ctx-rh-superiorparietal_6 	#eac51a	8
60	ctx-rh-superiorparietal_7 	#06b9c7	8
61	ctx-rh-inferiorparietal_1 	#4cd526	8
62	ctx-rh-inferiorparietal_2 	#e47b73	8
63	ctx-rh-inferiorparietal_3 	#5bc8da	8
64	ctx-rh-inferiorparietal_4 	#eb51a4	8
65	ctx-rh-inferiorparietal_5 	#71ad91	8
66	ctx-rh-inferiorparietal_6 	#b50f70	8
67	ctx-rh-precuneus_1 	#00bb45	8
68	ctx-rh-precuneus_2 	#8cf245	8
69	ctx-rh-precuneus_3 	#042523	8
70	ctx-rh-precuneus_4 	#3021c6	8
71	ctx-rh-precuneus_5 	#e5a175	8
72	ctx-rh-cuneus_1 	#1d08ef	8
73	ctx-rh-cuneus_2 	#a359d3	8
74	ctx-rh-pericalcarine_1 	#a555d0	8
75	ctx-rh-pericalcarine_2 	#92c462	8
76	ctx-rh-lateraloccipital_1 	#9fce7a	8
77	ctx-rh-lateraloccipital_2 	#d02448	8
78	ctx-rh-lateraloccipital_3 	#899e88	8
79	ctx-rh-lateraloccipital_4 	#498e16	8
80	ctx-rh-lateraloccipital_5 	#d7a858	8
81	ctx-rh-lingual_1 	#89d462	8
82	ctx-rh-lingual_2 	#fb6d35	8
83	ctx-rh-lingual_3 	#c02ae9	8
84	ctx-rh-fusiform_1 	#b4fc99	8
85	ctx-rh-fusiform_2 	#d2d6a2	8
86	ctx-rh-fusiform_3 	#fbb987	8
87	ctx-rh-fusiform_4 	#19c3bf	8
88	ctx-rh-parahippocampal_1 	#42e029	8
89	ctx-rh-entorhinal_1 	#04ef19	8
90	ctx-rh-temporalpole_1 	#96e6c4	8
91	ctx-rh-inferiortemporal_1 	#b8572c	8
92	ctx-rh-inferiortemporal_2 	#f385aa	8
93	ctx-rh-inferiortemporal_3 	#942c04	8
94	ctx-rh-inferiortemporal_4 	#038b38	8
95	ctx-rh-middletemporal_1 	#c57b57	8
96	ctx-rh-middletemporal_2 	#79ab42	8
97	ctx-rh-middletemporal_3 	#e83728	8
98	ctx-rh-middletemporal_4 	#4db425	8
99	ctx-rh-bankssts_1 	#c9202f	8
100	ctx-rh-superiortemporal_1 	#76dfc4	8
101	ctx-rh-superiortemporal_2 	#775066	8
102	ctx-rh-superiortemporal_3 	#b03f8f	8
103	ctx-rh-superiortemporal_4 	#f8f7f0	8
104	ctx-rh-superiortemporal_5 	#3c1015	8
105	ctx-rh-transversetemporal_1 	#14ab6c	8
106	ctx-rh-insula_1 	#d5f2fa	8
107	ctx-rh-insula_2 	#4e9317	8
108	ctx-rh-insula_3 	#00ef6c	8
109	right-pulvinar	#ff0000	9
110	right-anterior	#00ff00	9
111	right-medio_dorsal	#ffff00	9
112	right-ventral_latero_dorsal	#ff7b00	9
113	right-central_lateral-lateral_posterior-medial_pulvinar	#00ffff	9
114	right-ventral_anterior	#ff00ff	9
115	right-ventral_latero_ventral	#0000ff	9
116	right-thalamus_proper	#00760e	9
117	right-caudate	#7abadc	9
118	right-putamen	#ec0db0	9
119	right-pallidum	#0c30ff	9
120	right-accumbens_area	#ffa500	9
121	right-hippocampus	#67ffff	9
122	right-amygdala	#dcd814	9
123	right-ventraldc	#a52a2a	9
124	ctx-lh-lateralorbitofrontal_1 	#ccb68e	8
125	ctx-lh-lateralorbitofrontal_2 	#d36d70	8
126	ctx-lh-lateralorbitofrontal_3 	#1097a5	8
127	ctx-lh-lateralorbitofrontal_4 	#c40ef6	8
128	ctx-lh-parsorbitalis_1 	#3f68ca	8
129	ctx-lh-frontalpole_1 	#b3a111	8
130	ctx-lh-medialorbitofrontal_1 	#1655e6	8
131	ctx-lh-medialorbitofrontal_2 	#17b5fa	8
132	ctx-lh-medialorbitofrontal_3 	#48c20b	8
133	ctx-lh-parstriangularis_1 	#ecb18e	8
134	ctx-lh-parstriangularis_2 	#f0b5fa	8
135	ctx-lh-parsopercularis_1 	#5fb73e	8
136	ctx-lh-parsopercularis_2 	#56841a	8
137	ctx-lh-rostralmiddlefrontal_1 	#7797c0	8
138	ctx-lh-rostralmiddlefrontal_2 	#cc03af	8
139	ctx-lh-rostralmiddlefrontal_3 	#29bf1c	8
140	ctx-lh-rostralmiddlefrontal_4 	#c93cfb	8
141	ctx-lh-rostralmiddlefrontal_5 	#470221	8
142	ctx-lh-rostralmiddlefrontal_6 	#7b2872	8
143	ctx-lh-superiorfrontal_1 	#f2d006	8
144	ctx-lh-superiorfrontal_2 	#f47ad9	8
145	ctx-lh-superiorfrontal_3 	#7d82be	8
146	ctx-lh-superiorfrontal_4 	#286a31	8
147	ctx-lh-superiorfrontal_5 	#5f945f	8
148	ctx-lh-superiorfrontal_6 	#6929ab	8
149	ctx-lh-superiorfrontal_7 	#0f6270	8
150	ctx-lh-superiorfrontal_8 	#3b5a7d	8
151	ctx-lh-caudalmiddlefrontal_1 	#03706c	8
152	ctx-lh-caudalmiddlefrontal_2 	#adc84f	8
153	ctx-lh-caudalmiddlefrontal_3 	#e96ece	8
154	ctx-lh-precentral_1 	#c02a7a	8
155	ctx-lh-precentral_2 	#1c3d8f	8
156	ctx-lh-precentral_3 	#fd8654	8
157	ctx-lh-precentral_4 	#51d41d	8
158	ctx-lh-precentral_5 	#fa11c1	8
159	ctx-lh-precentral_6 	#f3fde7	8
160	ctx-lh-paracentral_1 	#b03650	8
161	ctx-lh-paracentral_2 	#e592ae	8
162	ctx-lh-paracentral_3 	#f148ce	8
163	ctx-lh-rostralanteriorcingulate_1 	#e37028	8
164	ctx-lh-caudalanteriorcingulate_1 	#8131d8	8
165	ctx-lh-posteriorcingulate_1 	#06eceb	8
166	ctx-lh-posteriorcingulate_2 	#6c5f26	8
167	ctx-lh-isthmuscingulate_1 	#7b2cc2	8
168	ctx-lh-postcentral_1 	#c98cdd	8
169	ctx-lh-postcentral_2 	#cae6e0	8
170	ctx-lh-postcentral_3 	#20d75a	8
171	ctx-lh-postcentral_4 	#b27385	8
172	ctx-lh-postcentral_5 	#beb580	8
173	ctx-lh-supramarginal_1 	#ba39a4	8
174	ctx-lh-supramarginal_2 	#4ddcae	8
175	ctx-lh-supramarginal_3 	#0e6c1c	8
176	ctx-lh-supramarginal_4 	#b7db76	8
177	ctx-lh-superiorparietal_1 	#341a93	8
178	ctx-lh-superiorparietal_2 	#b91781	8
179	ctx-lh-superiorparietal_3 	#1b46fd	8
180	ctx-lh-superiorparietal_4 	#08b604	8
181	ctx-lh-superiorparietal_5 	#2fe8d8	8
182	ctx-lh-superiorparietal_6 	#eac51a	8
183	ctx-lh-superiorparietal_7 	#06b9c7	8
184	ctx-lh-inferiorparietal_1 	#4cd526	8
185	ctx-lh-inferiorparietal_2 	#e47b73	8
186	ctx-lh-inferiorparietal_3 	#5bc8da	8
187	ctx-lh-inferiorparietal_4 	#eb51a4	8
188	ctx-lh-inferiorparietal_5 	#71ad91	8
189	ctx-lh-inferiorparietal_6 	#b50f70	8
190	ctx-lh-precuneus_1 	#00bb45	8
191	ctx-lh-precuneus_2 	#8cf245	8
192	ctx-lh-precuneus_3 	#042523	8
