index	name	color	mapping
193	ctx-lh-precuneus_4 	#3021c6	8
194	ctx-lh-precuneus_5 	#e5a175	8
195	ctx-lh-cuneus_1 	#1d08ef	8
196	ctx-lh-cuneus_2 	#a359d3	8
197	ctx-lh-pericalcarine_1 	#a555d0	8
198	ctx-lh-pericalcarine_2 	#92c462	8
199	ctx-lh-lateraloccipital_1 	#9fce7a	8
200	ctx-lh-lateraloccipital_2 	#d02448	8
201	ctx-lh-lateraloccipital_3 	#899e88	8
202	ctx-lh-lateraloccipital_4 	#498e16	8
203	ctx-lh-lateraloccipital_5 	#d7a858	8
204	ctx-lh-lingual_1 	#89d462	8
205	ctx-lh-lingual_2 	#fb6d35	8
206	ctx-lh-lingual_3 	#c02ae9	8
207	ctx-lh-fusiform_1 	#b4fc99	8
208	ctx-lh-fusiform_2 	#d2d6a2	8
209	ctx-lh-fusiform_3 	#fbb987	8
210	ctx-lh-fusiform_4 	#19c3bf	8
211	ctx-lh-parahippocampal_1 	#42e029	8
212	ctx-lh-entorhinal_1 	#04ef19	8
213	ctx-lh-temporalpole_1 	#96e6c4	8
214	ctx-lh-inferiortemporal_1 	#b8572c	8
215	ctx-lh-inferiortemporal_2 	#f385aa	8
216	ctx-lh-inferiortemporal_3 	#942c04	8
217	ctx-lh-inferiortemporal_4 	#038b38	8
218	ctx-lh-middletemporal_1 	#c57b57	8
219	ctx-lh-middletemporal_2 	#79ab42	8
220	ctx-lh-middletemporal_3 	#e83728	8
221	ctx-lh-middletemporal_4 	#4db425	8
222	ctx-lh-bankssts_1 	#c9202f	8
223	ctx-lh-superiortemporal_1 	#76dfc4	8
224	ctx-lh-superiortemporal_2 	#775066	8
225	ctx-lh-superiortemporal_3 	#b03f8f	8
226	ctx-lh-superiortemporal_4 	#f8f7f0	8
227	ctx-lh-superiortemporal_5 	#3c1015	8
228	ctx-lh-transversetemporal_1 	#14ab6c	8
229	ctx-lh-insula_1 	#d5f2fa	8
230	ctx-lh-insula_2 	#4e9317	8
231	ctx-lh-insula_3 	#00ef6c	8
232	left-pulvinar	#ff0000	9
233	left-anterior	#00ff00	9
234	left-medio_dorsal	#ffff00	9
235	left-ventral_latero_dorsal	#ff7b00	9
236	left-central_lateral-lateral_posterior-medial_pulvinar	#00ffff	9
237	left-ventral_anterior	#ff00ff	9
238	left-ventral_latero_ventral	#0000ff	9
239	left-thalamus_proper	#00760e	9
240	left-caudate	#7abadc	9
241	left-putamen	#ec0db0	9
242	left-pallidum	#0c30ff	9
243	left-accumbens_area	#ffa500	9
244	left-hippocampus	#67ffff	9
245	left-amygdala	#dcd814	9
246	left-ventraldc	#a52a2a	9
247	brainstem	#ccb68e	10
