index	name	color	mapping
1	ctx-rh-lateralorbitofrontal 	#000000	8
2	ctx-rh-parsorbitalis 	#146432	8
3	ctx-rh-frontalpole 	#640064	8
4	ctx-rh-medialorbitofrontal 	#c8234b	8
5	ctx-rh-parstriangularis 	#dc3c14	8
6	ctx-rh-parsopercularis 	#dcb48c	8
7	ctx-rh-rostralmiddlefrontal 	#4b327d	8
8	ctx-rh-superiorfrontal 	#14dca0	8
9	ctx-rh-caudalmiddlefrontal 	#641900	8
10	ctx-rh-precentral 	#3c14dc	8
11	ctx-rh-paracentral 	#3cdc3c	8
12	ctx-rh-rostralanteriorcingulate 	#50148c	8
13	ctx-rh-caudalanteriorcingulate 	#7d64a0	8
14	ctx-rh-posteriorcingulate 	#dcb4dc	8
15	ctx-rh-isthmuscingulate 	#8c148c	8
16	ctx-rh-postcentral 	#dc1414	8
17	ctx-rh-supramarginal 	#50a014	8
18	ctx-rh-superiorparietal 	#14b48c	8
19	ctx-rh-inferiorparietal 	#dc3cdc	8
20	ctx-rh-precuneus 	#a08cb4	8
21	ctx-rh-cuneus 	#dc1464	8
22	ctx-rh-pericalcarine 	#78643c	8
23	ctx-rh-lateraloccipital 	#141e8c	8
24	ctx-rh-lingual 	#e18c8c	8
25	ctx-rh-fusiform 	#b4dc8c	8
26	ctx-rh-parahippocampal 	#14dc3c	8
27	ctx-rh-entorhinal 	#dc140a	8
28	ctx-rh-temporalpole 	#464646	8
29	ctx-rh-inferiortemporal 	#b42878	8
30	ctx-rh-middletemporal 	#a06432	8
31	ctx-rh-bankssts 	#196428	8
32	ctx-rh-superiortemporal 	#8cdcdc	8
33	ctx-rh-transversetemporal 	#9696c8	8
34	ctx-rh-insula 	#ffc020	8
35	right-pulvinar	#ff0000	9
36	right-anterior	#00ff00	9
37	right-medio_dorsal	#ffff00	9
38	right-ventral_latero_dorsal	#ff7b00	9
39	right-central_lateral-lateral_posterior-medial_pulvinar	#00ffff	9
40	right-ventral_anterior	#ff00ff	9
41	right-ventral_latero_ventral	#0000ff	9
42	right-thalamus_proper	#00760e	9
43	right-caudate	#7abadc	9
44	right-putamen	#ec0db0	9
45	right-pallidum	#0c30ff	9
46	right-accumbens_area	#ffa500	9
47	right-hippocampus	#67ffff	9
48	right-amygdala	#dcd814	9
49	right-ventraldc	#a52a2a	9
50	ctx-lh-lateralorbitofrontal 	#ccb68e	8
51	ctx-lh-parsorbitalis 	#146432	8
52	ctx-lh-frontalpole 	#640064	8
53	ctx-lh-medialorbitofrontal 	#c8234b	8
54	ctx-lh-parstriangularis 	#dc3c14	8
55	ctx-lh-parsopercularis 	#dcb48c	8
56	ctx-lh-rostralmiddlefrontal 	#4b327d	8
57	ctx-lh-superiorfrontal 	#14dca0	8
58	ctx-lh-caudalmiddlefrontal 	#641900	8
59	ctx-lh-precentral 	#3c14dc	8
60	ctx-lh-paracentral 	#3cdc3c	8
61	ctx-lh-rostralanteriorcingulate 	#50148c	8
62	ctx-lh-caudalanteriorcingulate 	#7d64a0	8
63	ctx-lh-posteriorcingulate 	#dcb4dc	8
64	ctx-lh-isthmuscingulate 	#8c148c	8
65	ctx-lh-postcentral 	#dc1414	8
66	ctx-lh-supramarginal 	#50a014	8
67	ctx-lh-superiorparietal 	#14b48c	8
68	ctx-lh-inferiorparietal 	#dc3cdc	8
69	ctx-lh-precuneus 	#a08cb4	8
70	ctx-lh-cuneus 	#dc1464	8
71	ctx-lh-pericalcarine 	#78643c	8
72	ctx-lh-lateraloccipital 	#141e8c	8
73	ctx-lh-lingual 	#e18c8c	8
74	ctx-lh-fusiform 	#b4dc8c	8
75	ctx-lh-parahippocampal 	#14dc3c	8
76	ctx-lh-entorhinal 	#dc140a	8
77	ctx-lh-temporalpole 	#464646	8
78	ctx-lh-inferiortemporal 	#b42878	8
79	ctx-lh-middletemporal 	#a06432	8
80	ctx-lh-bankssts 	#196428	8
81	ctx-lh-superiortemporal 	#8cdcdc	8
82	ctx-lh-transversetemporal 	#9696c8	8
83	ctx-lh-insula 	#ffc020	8
84	left-pulvinar	#ff0000	9
85	left-anterior	#00ff00	9
86	left-medio_dorsal	#ffff00	9
87	left-ventral_latero_dorsal	#ff7b00	9
88	left-central_lateral-lateral_posterior-medial_pulvinar	#00ffff	9
89	left-ventral_anterior	#ff00ff	9
90	left-ventral_latero_ventral	#0000ff	9
91	left-thalamus_proper	#00760e	9
92	left-caudate	#7abadc	9
93	left-putamen	#ec0db0	9
94	left-pallidum	#0c30ff	9
95	left-accumbens_area	#ffa500	9
96	left-hippocampus	#67ffff	9
97	left-amygdala	#dcd814	9
98	left-ventraldc	#a52a2a	9
99	brainstem	#ccb68e	10
