index, name                                                   , type      , volume-mm3 
1   , ctx-rh-lateralorbitofrontal                            , cortical  ,     8047.0 
2   , ctx-rh-parsorbitalis                                   , cortical  ,     3263.0 
3   , ctx-rh-frontalpole                                     , cortical  ,     1242.0 
4   , ctx-rh-medialorbitofrontal                             , cortical  ,     5219.0 
5   , ctx-rh-parstriangularis                                , cortical  ,     4445.0 
6   , ctx-rh-parsopercularis                                 , cortical  ,     4957.0 
7   , ctx-rh-rostralmiddlefrontal                            , cortical  ,    20246.0 
8   , ctx-rh-superiorfrontal                                 , cortical  ,    26575.0 
9   , ctx-rh-caudalmiddlefrontal                             , cortical  ,     7528.0 
10  , ctx-rh-precentral                                      , cortical  ,    16044.0 
11  , ctx-rh-paracentral                                     , cortical  ,     4636.0 
12  , ctx-rh-rostralanteriorcingulate                        , cortical  ,     2495.0 
13  , ctx-rh-caudalanteriorcingulate                         , cortical  ,     2761.0 
14  , ctx-rh-posteriorcingulate                              , cortical  ,     3789.0 
15  , ctx-rh-isthmuscingulate                                , cortical  ,     2969.0 
16  , ctx-rh-postcentral                                     , cortical  ,     9238.0 
17  , ctx-rh-supramarginal                                   , cortical  ,    10591.0 
18  , ctx-rh-superiorparietal                                , cortical  ,    16523.0 
19  , ctx-rh-inferiorparietal                                , cortical  ,    17791.0 
20  , ctx-rh-precuneus                                       , cortical  ,    12181.0 
21  , ctx-rh-cuneus                                          , cortical  ,     3156.0 
22  , ctx-rh-pericalcarine                                   , cortical  ,     2509.0 
23  , ctx-rh-lateraloccipital                                , cortical  ,    15222.0 
24  , ctx-rh-lingual                                         , cortical  ,     7038.0 
25  , ctx-rh-fusiform                                        , cortical  ,    12523.0 
26  , ctx-rh-parahippocampal                                 , cortical  ,     1955.0 
27  , ctx-rh-entorhinal                                      , cortical  ,     1729.0 
28  , ctx-rh-temporalpole                                    , cortical  ,     2783.0 
29  , ctx-rh-inferiortemporal                                , cortical  ,    11908.0 
30  , ctx-rh-middletemporal                                  , cortical  ,    12503.0 
31  , ctx-rh-bankssts                                        , cortical  ,     2711.0 
32  , ctx-rh-superiortemporal                                , cortical  ,    12829.0 
33  , ctx-rh-transversetemporal                              , cortical  ,     1019.0 
34  , ctx-rh-insula                                          , cortical  ,     7255.0 
35  , Right-Pulvinar                                         , subcortical,        0.0 
36  , Right-Anterior                                         , subcortical,        0.0 
37  , Right-Medio_Dorsal                                     , subcortical,        0.0 
38  , Right-Ventral_Latero_Dorsal                            , subcortical,        0.0 
39  , Right-Central_Lateral-Lateral_Posterior-Medial_Pulvinar, subcortical,        0.0 
40  , Right-Ventral_Anterior                                 , subcortical,        0.0 
41  , Right-Ventral_Latero_Ventral                           , subcortical,        0.0 
42  , Right-Thalamus_Proper                                  , subcortical,     9506.0 
43  , Right-Caudate                                          , subcortical,     4687.0 
44  , Right-Putamen                                          , subcortical,     6227.0 
45  , Right-Pallidum                                         , subcortical,     2531.0 
46  , Right-Accumbens_area                                   , subcortical,      677.0 
47  , Right-Hippocampus                                      , subcortical,     5423.0 
48  , Right-Amygdala                                         , subcortical,     2018.0 
49  , Right-VentralDC                                        , subcortical,     5614.0 
50  , ctx-lh-lateralorbitofrontal                            , cortical  ,     8551.0 
51  , ctx-lh-parsorbitalis                                   , cortical  ,     2794.0 
52  , ctx-lh-frontalpole                                     , cortical  ,     1074.0 
53  , ctx-lh-medialorbitofrontal                             , cortical  ,     4934.0 
