index, name                                                   , type      , volume-mm3 
92  , ctx-rh-inferiortemporal_2                              , cortical  ,     2608.0 
93  , ctx-rh-inferiortemporal_3                              , cortical  ,     2513.0 
94  , ctx-rh-inferiortemporal_4                              , cortical  ,     4183.0 
95  , ctx-rh-middletemporal_1                                , cortical  ,     3376.0 
96  , ctx-rh-middletemporal_2                                , cortical  ,     2126.0 
97  , ctx-rh-middletemporal_3                                , cortical  ,     2711.0 
98  , ctx-rh-middletemporal_4                                , cortical  ,     4290.0 
99  , ctx-rh-bankssts_1                                      , cortical  ,     2711.0 
100 , ctx-rh-superiortemporal_1                              , cortical  ,     2357.0 
101 , ctx-rh-superiortemporal_2                              , cortical  ,     2150.0 
102 , ctx-rh-superiortemporal_3                              , cortical  ,     2692.0 
103 , ctx-rh-superiortemporal_4                              , cortical  ,     1160.0 
104 , ctx-rh-superiortemporal_5                              , cortical  ,     4470.0 
105 , ctx-rh-transversetemporal_1                            , cortical  ,     1019.0 
106 , ctx-rh-insula_1                                        , cortical  ,     1492.0 
107 , ctx-rh-insula_2                                        , cortical  ,     2778.0 
108 , ctx-rh-insula_3                                        , cortical  ,     2985.0 
109 , Right-Pulvinar                                         , subcortical,        0.0 
110 , Right-Anterior                                         , subcortical,        0.0 
111 , Right-Medio_Dorsal                                     , subcortical,        0.0 
112 , Right-Ventral_Latero_Dorsal                            , subcortical,        0.0 
113 , Right-Central_Lateral-Lateral_Posterior-Medial_Pulvinar, subcortical,        0.0 
114 , Right-Ventral_Anterior                                 , subcortical,        0.0 
115 , Right-Ventral_Latero_Ventral                           , subcortical,        0.0 
116 , Right-Thalamus_Proper                                  , subcortical,     9506.0 
117 , Right-Caudate                                          , subcortical,     4687.0 
118 , Right-Putamen                                          , subcortical,     6227.0 
119 , Right-Pallidum                                         , subcortical,     2531.0 
120 , Right-Accumbens_area                                   , subcortical,      677.0 
121 , Right-Hippocampus                                      , subcortical,     5423.0 
122 , Right-Amygdala                                         , subcortical,     2018.0 
123 , Right-VentralDC                                        , subcortical,     5614.0 
124 , ctx-lh-lateralorbitofrontal_1                          , cortical  ,     2000.0 
125 , ctx-lh-lateralorbitofrontal_2                          , cortical  ,     2752.0 
126 , ctx-lh-lateralorbitofrontal_3                          , cortical  ,     2151.0 
127 , ctx-lh-lateralorbitofrontal_4                          , cortical  ,     1648.0 
128 , ctx-lh-parsorbitalis_1                                 , cortical  ,     2794.0 
129 , ctx-lh-frontalpole_1                                   , cortical  ,     1074.0 
130 , ctx-lh-medialorbitofrontal_1                           , cortical  ,     2599.0 
131 , ctx-lh-medialorbitofrontal_2                           , cortical  ,     1431.0 
132 , ctx-lh-medialorbitofrontal_3                           , cortical  ,      904.0 
133 , ctx-lh-parstriangularis_1                              , cortical  ,      934.0 
134 , ctx-lh-parstriangularis_2                              , cortical  ,     3560.0 
135 , ctx-lh-parsopercularis_1                               , cortical  ,     3124.0 
136 , ctx-lh-parsopercularis_2                               , cortical  ,     2803.0 
137 , ctx-lh-rostralmiddlefrontal_1                          , cortical  ,     3640.0 
138 , ctx-lh-rostralmiddlefrontal_2                          , cortical  ,     3081.0 
139 , ctx-lh-rostralmiddlefrontal_3                          , cortical  ,     4723.0 
140 , ctx-lh-rostralmiddlefrontal_4                          , cortical  ,     2368.0 
141 , ctx-lh-rostralmiddlefrontal_5                          , cortical  ,     1757.0 
142 , ctx-lh-rostralmiddlefrontal_6                          , cortical  ,     3580.0 
143 , ctx-lh-superiorfrontal_1                               , cortical  ,     2741.0 
144 , ctx-lh-superiorfrontal_2                               , cortical  ,     4172.0 
145 , ctx-lh-superiorfrontal_3                               , cortical  ,     3937.0 
146 , ctx-lh-superiorfrontal_4                               , cortical  ,     2453.0 
147 , ctx-lh-superiorfrontal_5                               , cortical  ,     4406.0 
148 , ctx-lh-superiorfrontal_6                               , cortical  ,     3290.0 
