Network Order, Network Name
1,VIS-A
2,VIS-B
3,SOM-A
4,SOM-B
5,DAT-A
6,DAT-B
7,VAT-A
8,VAT-B
9,LIM-A
10,LIM-B
11,FPN-C
12,FPN-A
13,FPN-B
14,TPN
15,DMN-C
16,DMN-A
17,DMN-B
